netstrain	pxy1	varcorCSYM	Pxy[Mpa]
2.8050	1.6810	91.2496	1680.9673
2.8100	1.6852	91.1568	1685.1758
2.8150	1.6871	91.1910	1687.1332
2.8200	1.6909	91.2166	1690.9201
2.8250	1.6936	91.2394	1693.6314
2.8300	1.6978	91.2070	1697.8386
2.8350	1.7006	91.1252	1700.5900
2.8400	1.7048	91.1023	1704.7838
2.8450	1.7076	91.1931	1707.5733
2.8500	1.7117	91.2612	1711.7444
2.8550	1.7145	91.2021	1714.4656
2.8600	1.7187	91.2030	1718.6787
2.8650	1.7214	91.1474	1721.4428
2.8700	1.7256	91.1728	1725.6274
2.8750	1.7284	91.1256	1728.3864
2.8800	1.7326	91.0395	1732.5967
2.8850	1.7353	91.0622	1735.2890
2.8900	1.7395	90.9904	1739.4826
2.8950	1.7422	91.0484	1742.2348
2.9000	1.7465	91.0756	1746.4508
2.9050	1.7491	91.1963	1749.0828
2.9100	1.7533	91.1156	1753.2747
2.9150	1.7560	91.1432	1756.0469
2.9200	1.7602	91.1268	1760.1690
2.9250	1.7630	91.1180	1762.9746
2.9300	1.7671	91.1284	1767.1433
2.9350	1.7699	91.1135	1769.9473
2.9400	1.7724	91.2445	1772.3800
2.9450	1.7752	91.2546	1775.1632
2.9500	1.7793	91.1846	1779.2610
2.9550	1.7821	91.2221	1782.0994
2.9600	1.7862	91.1738	1786.2139
2.9650	1.7891	91.2626	1789.0554
2.9700	1.7931	91.1746	1793.1290
2.9750	1.7960	91.2230	1795.9804
2.9800	1.5554	90.9083	1555.4430
2.9850	0.5157	88.5859	515.6693
2.9900	0.5158	88.6286	515.8105
2.9950	0.5189	88.7024	518.8635
3.0000	0.5227	88.6673	522.7444
3.0050	0.5258	88.7374	525.8275
3.0100	0.5297	88.6908	529.7391
3.0150	0.5328	88.6658	532.8097
3.0200	0.5367	88.6611	536.7309
3.0250	0.5398	88.7038	539.8165
3.0300	0.5438	88.6488	543.7563
3.0350	0.5467	88.5562	546.7495
3.0400	0.5508	88.6068	550.7618
3.0450	0.5537	88.5652	553.7087
3.0500	0.5578	88.5561	557.7922
3.0550	0.5607	88.5800	560.7031
3.0600	0.5648	88.5998	564.7992
3.0650	0.5677	88.6056	567.6817
3.0700	0.5718	88.5491	571.7753
3.0750	0.5747	88.5711	574.6682
3.0800	0.5788	88.5518	578.7680
3.0850	0.5817	88.5167	581.7213
3.0900	0.5857	88.5294	585.7338
3.0950	0.5887	88.4921	588.6848
3.1000	0.5927	88.4534	592.7410
3.1050	0.5957	88.5249	595.6786
3.1100	0.5998	88.4757	599.7571
3.1150	0.6026	88.5022	602.6360
3.1200	0.6068	88.4391	606.8044
3.1250	0.6096	88.3894	609.6051
3.1300	0.6138	88.4817	613.7534
3.1350	0.6166	88.4742	616.6028
3.1400	0.6208	88.3891	620.7677
3.1450	0.6236	88.4255	623.5880
3.1500	0.6278	88.4452	627.7603
3.1550	0.6306	88.3981	630.5569
3.1600	0.6348	88.4552	634.7942
3.1650	0.6375	88.3695	637.5041
3.1700	0.6418	88.4005	641.7862
3.1750	0.6445	88.3504	644.4707
3.1800	0.6488	88.3826	648.7920
3.1850	0.6514	88.4077	651.4045
3.1900	0.5945	88.8325	594.4838
3.1950	0.5971	88.7482	597.1287
3.2000	0.6014	88.7323	601.3722
3.2050	0.6041	88.7192	604.0968
3.2100	0.6084	88.7792	608.3503
3.2150	0.6111	88.6563	611.1253
3.2200	0.6154	88.7123	615.3593
3.2250	0.6181	88.6611	618.1136
3.2300	0.6218	88.7429	621.8358
3.2350	0.6246	88.6541	624.6289
3.2400	0.6288	88.6347	628.7547
3.2450	0.6316	88.5961	631.6435
3.2500	0.6358	88.6545	635.8042
3.2550	0.6386	88.5840	638.6060
3.2600	0.6427	88.6380	642.7439
3.2650	0.6456	88.6697	645.6210
3.2700	0.6497	88.5979	649.7351
3.2750	0.6526	88.5313	652.6153
3.2800	0.6568	88.6186	656.8102
3.2850	0.6596	88.6401	659.5838
3.2900	0.6638	88.6128	663.8279
3.2950	0.6666	88.5752	666.5937
3.3000	0.6708	88.5461	670.7926
3.3050	0.6736	88.5504	673.5546
3.3100	0.6778	88.5978	677.7620
3.3150	0.6805	88.5223	680.5414
3.3200	0.6848	88.5711	684.7854
3.3250	0.6876	88.4939	687.5614
3.3300	0.6918	88.5534	691.7759
3.3350	0.6945	88.5283	694.5217
3.3400	0.6988	88.4715	698.7898
3.3450	0.7015	88.5802	701.5248
3.3500	0.7048	88.4265	704.8434
3.3550	0.7076	88.4616	707.6388
3.3600	0.7118	88.5390	711.8367
3.3650	0.7146	88.4569	714.5645
